No,Date,OPD,Name,Gender,Age,Bleed,Weight,PCV,WBC,"PLT
______",Creatinine,ALT,Snap4Dx,PLATELETS,HGB,RBC,MCV,MCHC,MCH,SEGS,LYMPH,MONO,PROTEIN (REFRACT),RDW,"________
(_______)","____ file
(_______)",crossmatch_result,donor_name,"PCV
donor",product,Volume,"________
(___ file _________)",PCV_target,PCV_Sucess,PCV_afterdonation,WBC_afterdoantion,"________
(_______)","____ file
(_______)"
113,15-Feb-17,60000525,เล็ก,M,0,CROSSBREED,15,11.1,56.99,112,,,,112,3.1,1.42,78.17,27.93,21.83,80.8,7.9,10.8,7.2,15.9,PCV 12,_b60\7.txt,ผ่าน,น้ำชา,50,SWB,300,เหลือ 150 ml,22.21111111,18.6,18.6,59.02,PCV=7.2,_a60\7.txt
115,9-Mar-17,60000827,ซุค (ZUK),M,0,SHIH TZU,13,10.1,16.58,190,,,,190,3.4,1.5,67.33,33.66,22.67,92.8,3,3.6,6.6,13.5,PCV=23,b60\10.txt,ผ่าน,ลูกชิด,51,PRC,160,,22.40769231,21.7,21.7,29.76,PCV 21,a60\10.txt
116,3-Mar-17,58004539,ปุยฝ้าย,F,0,SIBERIAN HUSKY,12.2,12.2,14.3,201,,,,201,3.9,1.8,67.78,31.97,21.67,71.8,21,5.1,7,16.5,pcv  13,_b60\9.txt,ผ่าน,ลิป,54.2,SWB,350,,29.47686703,30.1,30.1,13.81,pcv 29,_a60\9.txt
118,16-Mar-17,60000927,แด็กกี้,M,0,CROSSBREED,6,6.4,51.81,100,,,,100,1.8,0.7,91.43,28.12,25.71,81.9,8.6,9.2,9,23.9,"PCV 7,Agglutination RT=neg/4C=neg",b60\14.txt,ผ่าน,เล็ก,51.2,PRC,150,,31.4,19.1,19.1,56.6,PCV=20,a60\14.txt
120,15-Mar-17,60000896,น้ำตาล,M,0,CROSSBREED,13,9.1,5.45,35,,,,35,2.8,1.42,64.08,30.77,19.72,82.3,6.1,11.4,5.2,21.1,PCV 10,b60\13.txt,ผ่าน,มอมแดง,51.3,SWB,400,,26.63846154,15.7,15.7,8.14,pcv 25,a60\13.txt
121,14-Mar-17,60000912,โอลีฟ,F,0,CROSSBREED,18,7.5,0.55,5,,,,5,2.4,1.15,65.22,32,20.87,11,61.8,23.6,6.2,16.6,pcv 8,b60\12.txt,ผ่าน,ปุย,48,FWB,350,,17.87037037,16.1,16.1,0.27,pcv 16,a60\12.txt
122,21-Mar-17,60000912,โอลีฟ,F,0,CROSSBREED,18,9.4,0.53,13,,,,13,2.9,1.41,66.67,30.85,20.57,26.3,49.1,20.8,5.8,16,pcv 10,b60\15.txt,ผ่าน,ออย,53,FWB,350,,20.85061728,13.6,13.6,3.26,pcv 13,a60\15.txt
123,26-Apr-17,60001457,ดุ๊กกี๊,F,0,AMARICAN PITBULL,23,8.5,10.47,86,,,,86,2.8,1.16,73.28,32.94,24.14,87.2,10,2.2,7.2,14.2,pcv 9,b60\19.txt,ผ่าน,ลีวาย,52.8,PRC,200,,17.19565217,14.6,14.6,10,pcv 13,a60\19.txt
124,8-May-17,60001595,ปาฎิหารย์,M,0,CROSSBREED,2.55,18.9,15.63,38,,,,38,5.3,2.73,69.23,28.04,19.41,84.4,7,8.2,5.2,20.4,pcv 19 jaundice Giant plt. 1/oil field,b60\21.txt,ผ่าน,ถั่วดำ,43,SWB,70,230 ml,32.01546841,41,41,0,0,a60\21.txt
126,17-May-17,60001703,Barney,M,0,STAFFORDSHIRE BULL TERRIER,14.2,10.5,0.45,5,,,,5,3.2,1.24,84.68,30.48,25.81,91.2,4.4,4.4,7,20.3,pcv  9,b60\24.txt,ผ่าน,ไข่หาย,49.3,SWB,450,,27.85915493,22.4,22.4,0.91,pcv 22,a60\24.txt
127,15-May-17,60001681,อ้วน,M,0,CROSSBREED,15.8,11.8,2.64,7,,,,7,3.3,1.31,90.08,27.97,25.19,63.6,30.3,5.3,7.2,20.9,pcv  10,b60\22.txt,ผ่าน,ชา,53,SWB,300,150 ml,22.9814346,15.2,15.2,2.84,pcv  14,a60\22.txt
129,1-Jun-17,60001921,บ็อบ,M,0,BEAGLE,17,26,30.94,414,,,,414,9.2,4.12,63.11,35.38,22.33,83.1,8.8,7.5,6,14.9,PCV 27,b60\29.txt,ผ่าน,มะลิ,44,SWB,300,,34.62745098,37,37,0,0,a60\29.txt
131,1-Jul-17,60002254,Damlek,M,0,CROSSBREED,15.2,17.9,43.57,147,,,,147,5.8,2.77,64.62,32.4,20.94,86,1.4,11.8,4.8,13.9,pcv 18,b60\39.txt,ผ่าน,ลิป,52.6,SWB,280,,28.66608187,23,23,42.3,pcv 26,a60\39.txt
132,28-Jun-17,60001929,ทอมมี่,M,0,GOLDEN RETRIEVER,25.6,22.3,22.03,200,,,,200,7.3,2.84,78.52,32.74,25.7,91.1,5.8,2.7,6.4,24.8,pcv 22,b60\37.txt,ผ่าน,ฝ้าย,49,SWB,350,,29.74357639,25.6,25.6,27.36,PCV 26,a60\37.txt
133,20-Jun-17,60002056,ดอกไม้,,,CROSSBREED,19,16,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ยาว,53.1,SWB,300,100 ml,25.31578947,27.9,27.9,,,
134,20-Jun-17,60002199,ซาซ่า,F,,CROSSBREED,3,18,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,ยาว,53.1,SWB,100,,37.66666667,23.9,23.9,20.46,PCV=24,a60\35.txt
135,11-Jul-17,60002491,แม็กกี๊,M,,SIBERIAN HUSKY,26,13,9.75,285,,,,285,16.2,7.05,68.5,34,23.5,68.5,21,6.5,,16.5,,,ผ่าน,คาด,51.2,SWB,300,,19.56410256,17,17,,,
137,20-Jul-17,60002584,บับเบิ้ล,M,0,POMERANIAN,3,7.2,8.92,5,,,,5,2.2,0.98,73.47,30.56,22.45,78.5,17.5,4,8.2,16.6,pcv 5,b60\41.txt,ผ่าน,สนุย,48,SWB,100,300 ml,24.97777778,22.8,22.8,10.86,PCV=21,a60\41.txt
